Date,Market Price EX1
13/01/2017 10:30,50.43999863
13/01/2017 11:00,52.88999939
13/01/2017 11:30,53.88000107
13/01/2017 12:00,60.29000092
13/01/2017 12:30,65.55999756
13/01/2017 13:00,65
13/01/2017 13:30,65
13/01/2017 14:00,60.29000092
13/01/2017 14:30,60.29000092
13/01/2017 15:00,59.29999924
13/01/2017 15:30,59.02000046
13/01/2017 16:00,60.29000092
13/01/2017 16:30,98.95999908
13/01/2017 17:00,109.1500015
13/01/2017 17:30,143.1999969
13/01/2017 18:00,148.1900024
13/01/2017 18:30,117.0100021
13/01/2017 19:00,111.1399994
13/01/2017 19:30,72.47000122
13/01/2017 20:00,71.73999786
13/01/2017 20:30,67.47000122
13/01/2017 21:00,60.29000092
13/01/2017 21:30,53.88000107
13/01/2017 22:00,53.88000107
13/01/2017 22:30,50.24000168
13/01/2017 23:00,50.24000168
13/01/2017 23:30,49.93999863
14/01/2017,41.00999832
14/01/2017 00:30,36.34999847
14/01/2017 01:00,35.40000153
14/01/2017 01:30,35.40000153
14/01/2017 02:00,35.06999969
14/01/2017 02:30,35.06999969
14/01/2017 03:00,34.02000046
14/01/2017 03:30,34.02000046
14/01/2017 04:00,34
14/01/2017 04:30,34
14/01/2017 05:00,35.06999969
14/01/2017 05:30,33.95999908
14/01/2017 06:00,36.34999847
14/01/2017 06:30,36.34999847
14/01/2017 07:00,50.86000061
14/01/2017 07:30,51.43000031
14/01/2017 08:00,53.56999969
14/01/2017 08:30,58.59000015
14/01/2017 09:00,53.56999969
14/01/2017 09:30,59.34999847
14/01/2017 10:00,59.34999847
14/01/2017 10:30,59.34999847
14/01/2017 11:00,59.34999847
14/01/2017 11:30,64.98999786
14/01/2017 12:00,67.77999878
14/01/2017 12:30,68.11000061
14/01/2017 13:00,64.98999786
14/01/2017 13:30,59.34999847
14/01/2017 14:00,59.34999847
14/01/2017 14:30,59.34999847
14/01/2017 15:00,59.34999847
14/01/2017 15:30,59.34999847
14/01/2017 16:00,65.62000275
14/01/2017 16:30,66.34999847
14/01/2017 17:00,109.6299973
14/01/2017 17:30,267
14/01/2017 18:00,189.8999939
14/01/2017 18:30,71.12000275
14/01/2017 19:00,67.66000366
14/01/2017 19:30,71.11000061
14/01/2017 20:00,71.11000061
14/01/2017 20:30,64.37000275
14/01/2017 21:00,59.34999847
14/01/2017 21:30,57.20999908
14/01/2017 22:00,56.97000122
14/01/2017 22:30,50.86000061
14/01/2017 23:00,36.34999847
14/01/2017 23:30,36.34999847
15/01/2017,36.33000183
15/01/2017 00:30,35.40000153
15/01/2017 01:00,35.06999969
15/01/2017 01:30,35.06999969
15/01/2017 02:00,35.06999969
15/01/2017 02:30,34.02000046
15/01/2017 03:00,34.02000046
15/01/2017 03:30,34.02000046
15/01/2017 04:00,34.02000046
15/01/2017 04:30,34
15/01/2017 05:00,36.13999939
15/01/2017 05:30,34.45999908
15/01/2017 06:00,39.54999924
15/01/2017 06:30,52.72000122
15/01/2017 07:00,55.56000137
15/01/2017 07:30,65.33000183
15/01/2017 08:00,67.13999939
15/01/2017 08:30,65.33000183
15/01/2017 09:00,65.33000183
15/01/2017 09:30,65.33000183
15/01/2017 10:00,66.88999939
15/01/2017 10:30,66.88999939
15/01/2017 11:00,66.88999939
15/01/2017 11:30,66.88999939
15/01/2017 12:00,66.83999634
15/01/2017 12:30,66.83999634
15/01/2017 13:00,66.83999634
15/01/2017 13:30,61.86999893
15/01/2017 14:00,60.97000122
15/01/2017 14:30,60.54999924
15/01/2017 15:00,61.15000153
15/01/2017 15:30,66.80000305
15/01/2017 16:00,66.80000305
15/01/2017 16:30,67.31999969
15/01/2017 17:00,147.8200073
15/01/2017 17:30,239.9199982
15/01/2017 18:00,147.9199982
15/01/2017 18:30,68.15000153
15/01/2017 19:00,66.79000092
15/01/2017 19:30,66.79000092
15/01/2017 20:00,61.47999954
15/01/2017 20:30,59.29000092
15/01/2017 21:00,58.27000046
15/01/2017 21:30,58.45999908
15/01/2017 22:00,55.56000137
15/01/2017 22:30,54.77000046
15/01/2017 23:00,39.54999924
15/01/2017 23:30,44.45000076
16/01/2017,39.54999924
16/01/2017 00:30,38.59999847
16/01/2017 01:00,38.27000046
16/01/2017 01:30,38.27000046
16/01/2017 02:00,38.27000046
16/01/2017 02:30,38.27000046
16/01/2017 03:00,38.27000046
16/01/2017 03:30,38.27000046
16/01/2017 04:00,38.27000046
16/01/2017 04:30,37.22000122
16/01/2017 05:00,39.33000183
16/01/2017 05:30,38.93000031
16/01/2017 06:00,42.63000107
16/01/2017 06:30,48.13000107
16/01/2017 07:00,50.84999847
16/01/2017 07:30,53.25
16/01/2017 08:00,60
16/01/2017 08:30,60
16/01/2017 09:00,53.54999924
16/01/2017 09:30,68.08999634
16/01/2017 10:00,68.08999634
16/01/2017 10:30,68.08999634
16/01/2017 11:00,68.08999634
16/01/2017 11:30,68.08999634
16/01/2017 12:00,68.08999634
16/01/2017 12:30,68.08999634
16/01/2017 13:00,68.08999634
16/01/2017 13:30,68.08999634
16/01/2017 14:00,67.79000092
16/01/2017 14:30,67.79000092
16/01/2017 15:00,67.79000092
16/01/2017 15:30,68.08999634
16/01/2017 16:00,98.73999786
16/01/2017 16:30,105.6500015
16/01/2017 17:00,128.1600037
16/01/2017 17:30,155.3600006
16/01/2017 18:00,143.0200043
16/01/2017 18:30,125.1999969
16/01/2017 19:00,129.2400055
16/01/2017 19:30,129.1100006
16/01/2017 20:00,102.8700027
16/01/2017 20:30,72.22000122
16/01/2017 21:00,68.08999634
16/01/2017 21:30,53.25
16/01/2017 22:00,51.83000183
16/01/2017 22:30,50.88000107
16/01/2017 23:00,50.84999847
16/01/2017 23:30,50.61000061
17/01/2017,50.61000061
17/01/2017 00:30,40.38000107
